code	tema	count
31	Biological Sciences	581
32	Biomedical and Clinical Sciences	540
40	Engineering	489
34	Chemical Sciences	248
3101	Biochemistry and Cell Biology	211
46	Information and Computing Sciences	164
30	Agricultural, Veterinary and Food Sciences	157
44	Human Society	153
37	Earth Sciences	135
33	Built Environment and Design	129
3105	Genetics	126
43	History, Heritage and Archaeology	125
51	Physical Sciences	117
41	Environmental Sciences	112
49	Mathematical Sciences	111
35	Commerce, Management, Tourism and Services	109
3211	Oncology and Carcinogenesis	88
48	Law and Legal Studies	86
3202	Clinical Sciences	81
4303	Historical Studies	78
3403	Macromolecular and Materials Chemistry	77
47	Language, Communication and Culture	76
3705	Geology	62
50	Philosophy and Religious Studies	62
42	Health Sciences	62
4016	Materials Engineering	60
4005	Civil Engineering	57
3204	Immunology	50
4901	Applied Mathematics	48
38	Economics	48
3301	Architecture	43
4001	Aerospace Engineering	43
5106	Nuclear and Plasma Physics	43
3107	Microbiology	42
3103	Ecology	41
3006	Food Sciences	38
36	Creative Arts and Writing	38
4302	Heritage, Archive and Museum Studies	37
3106	Industrial Biotechnology	37
3102	Bioinformatics and Computational Biology	36
3801	Applied Economics	36
3404	Medicinal and Biomolecular Chemistry	36
52	Psychology	36
3214	Pharmacology and Pharmaceutical Sciences	35
39	Education	35
4904	Pure Mathematics	35
4705	Literary Studies	34
3507	Strategy, Management and Organisational Behaviour	34
4003	Biomedical Engineering	32
3302	Building	32
4408	Political Science	32
4407	Policy and Administration	31
3206	Medical Biotechnology	30
4406	Human Geography	28
4014	Manufacturing Engineering	28
3406	Physical Chemistry	27
3402	Inorganic Chemistry	26
4105	Pollution and Contamination	25
3207	Medical Microbiology	25
4017	Mechanical Engineering	24
4203	Health Services and Systems	24
3004	Crop and Pasture Production	24
3008	Horticultural Production	23
3502	Banking, Finance and Investment	23
3208	Medical Physiology	23
3215	Reproductive Medicine	23
3303	Design	21
4010	Engineering Practice and Education	21
3405	Organic Chemistry	21
3009	Veterinary Sciences	21
4007	Control Engineering, Mechatronics and Robotics	21
4602	Artificial Intelligence	21
4002	Automotive Engineering	21
3509	Transportation, Logistics and Supply Chains	20
3304	Urban and Regional Planning	20
4605	Data Management and Data Science	19
4004	Chemical Engineering	19
5002	History and Philosophy Of Specific Fields	19
4104	Environmental Management	19
4012	Fluid Mechanics and Thermal Engineering	19
4807	Public Law	18
3108	Plant Biology	18
5202	Biological Psychology	17
3706	Geophysics	17
3203	Dentistry	17
4608	Human-Centred Computing	17
5110	Synchrotrons and Accelerators	17
4702	Cultural Studies	16
4301	Archaeology	16
3209	Neurosciences	16
4606	Distributed Computing and Systems Software	15
3205	Medical Biochemistry and Metabolomics	15
4102	Ecological Applications	15
5003	Philosophy	15
5107	Particle and High Energy Physics	15
3707	Hydrology	15
4106	Soil Sciences	15
3901	Curriculum and Pedagogy	15
3903	Education Systems	15
4610	Library and Information Studies	14
4206	Public Health	14
3201	Cardiovascular Medicine and Haematology	13
3709	Physical Geography and Environmental Geoscience	13
4704	Linguistics	13
4403	Demography	13
4802	Environmental and Resources Law	13
4008	Electrical Engineering	12
3210	Nutrition and Dietetics	12
5108	Quantum Physics	12
4009	Electronics, Sensors and Digital Hardware	12
3703	Geochemistry	12
5203	Clinical and Health Psychology	11
5102	Atomic, Molecular and Optical Physics	11
3601	Art History, Theory and Criticism	11
3704	Geoinformatics	11
4804	Law In Context	11
4703	Language Studies	11
4006	Communications Engineering	10
4018	Nanotechnology	10
3505	Human Resources and Industrial Relations	10
4609	Information Systems	9
4806	Private Law and Civil Obligations	9
4101	Climate Change Impacts and Adaptation	9
3407	Theoretical and Computational Chemistry	9
5101	Astronomical Sciences	9
4410	Sociology	9
4803	International and Comparative Law	8
4612	Software Engineering	8
3104	Evolutionary Biology	8
4905	Statistics	8
4015	Maritime Engineering	8
4103	Environmental Biotechnology	8
5005	Theology	8
3003	Animal Production	7
3504	Commercial Services	7
3902	Education Policy, Sociology and Philosophy	7
3001	Agricultural Biotechnology	7
4404	Development Studies	7
4604	Cybersecurity and Privacy	7
5104	Condensed Matter Physics	7
3002	Agriculture, Land and Farm Management	7
3212	Ophthalmology and Optometry	7
4405	Gender Studies	6
4011	Environmental Engineering	6
3701	Atmospheric Sciences	6
3401	Analytical Chemistry	6
4603	Computer Vision and Multimedia Computation	6
4601	Applied Computing	6
3506	Marketing	6
4613	Theory Of Computation	6
3602	Creative and Professional Writing	6
3213	Paediatrics	5
3803	Economic Theory	5
3508	Tourism	5
4019	Resources Engineering and Extractive Metallurgy	5
3007	Forestry Sciences	5
3708	Oceanography	5
3605	Screen and Digital Media	5
4801	Commercial Law	5
3904	Specialist Studies In Education	5
4805	Legal Systems	5
4201	Allied Health and Rehabilitation Science	4
5001	Applied Ethics	4
4013	Geomatic Engineering	4
4903	Numerical and Computational Mathematics	4
3501	Accounting, Auditing and Accountability	4
5004	Religious Studies	4
3603	Music	3
4701	Communication and Media Studies	3
4207	Sports Science and Exercise	3
3005	Fisheries Sciences	3
3604	Performing Arts	3
4202	Epidemiology	3
4409	Social Work	3
4402	Criminology	3
3109	Zoology	3
3802	Econometrics	2
4401	Anthropology	2
5109	Space Sciences	2
4611	Machine Learning	2
5103	Classical Physics	2
4205	Nursing	2
4902	Mathematical Physics	2
3702	Climate Change Science	2
5105	Medical and Biological Physics	2
5201	Applied and Developmental Psychology	2
4607	Graphics, Augmented Reality and Games	2
5204	Cognitive and Computational Psychology	2
4204	Midwifery	2
	0	
