ricercatore	count
beguinot francesco	11
lucio santoro	11
ambrosio luigi	9
buttazzo giuseppe mario	8
tacchetti carlo	8
fusco nicola	8
giorgino francesco	8
d'urso guido	7
nitsch lucio	7
cirino giuseppe	7
sesti giorgio	7
pardi ruggero	7
barletta antonio	7
alifano pietro	7
pucci pietro	6
pozzi gianni	6
dal maso gianni	6
lunardon guglielmo	6
cama alessandro	6
salvatore domenico	6
deiana salvatore andrea	6
de giovanni francesco	6
pontecorvi alfredo	6
villone fabio	6
gargano antonio	6
saglio giuseppe	6
trischitta vincenzo	6
sannia giovanni	6
pennacchio francesco	6
korchmaros gabor	6
caputi achille	6
fenzi gianfranco	6
damante giuseppe	6
annunziato lucio	6
fiorucci stefano	6
geppetti pierangelo	6
manca oronzio	6
masi carla	6
giannella mario	6
rossi guido	6
miele gennaro	6
pane fabrizio	6
ferone vincenzo	6
visca paolo	6
barberis elisabetta	6
avvedimento vittorio enrico	6
marino gennaro	6
de pascale stefania	6
taglialatela maurizio	6
ciarlo pietro	5
gessa kurotschka vanna	5
bonatti stefano	5
melacini paola	5
giuseppe vita	5
riccio andrea	5
gazzola filippo	5
grieco paolo	5
zurzolo chiara	5
de vendittis emmanuele	5
ciriolo maria rosa	5
fiori pier luigi	5
teti roberto	5
greco giovanni	5
tringali corrado	5
ciminiello patrizia	5
serra cassano francesco	5
lauro renato	5
landolfo raffaele	5
maiorana carmelo	5
roggero pier paolo	5
scrimin paolo maria	5
betocchi sandro	5
consoli agostino	5
pitacco ermanno	5
savare' giuseppe	5
bagetta giacinto	5
marciano elio	5
violante antonio	5
braides andrea	5
di lorenzo emilia	5
rossini gian paolo	5
bruno domenico	5
marone gianni	5
racioppi luigi	5
de arcangelis lucilla	5
di fiore pier paolo	5
mercede	5
pintaudi rosario	5
melluso leone	5
ballabio andrea	5
ghigo ezio	5
fusco girard luigi	5
rao rosa	5
cianchi andrea	5
mariggio' maria addolorata	5
lungarella giuseppe	5
bruno maurizio	5
di martino lino	5
vecchio giancarlo	5
berejiani zourab	5
conticelli sandro	5
bernardini maria	5
berrino liberato	5
ludovico antonio domenico	5
federici massimo	5
guerrini luisa francesca	5
gionfriddo mario	5
gandolfi claudio	5
ricci vittorio	5
messeri gabriella	5
parodi silvio	5
iolascon achille	5
izzo paola	5
de franceschi lucia	5
poli giuseppe	5
trimarco bruno	5
casolo carlo	5
davide pareyson	5
